id,productStyle,age,gender,region,node,stageNum,stageName,timestamp,type
27fe513a-67a2-4e7f-8fc5-ec397e9300d6,style1,under-30,male,asia,1,2,Manufacturing,2017-11-01T19:09:43,btype
57d37446-6041-4003-bb85-f54943edd5e2,style1,under-30,male,asia,1,2,Manufacturing,2017-11-01T19:46:50,etype
ca2a8255-5f9e-4c2f-857b-dc0a8535fd8f,style1,under-30,male,europe,1,2,Manufacturing,2017-11-01T08:55:44,atype
55bf649d-3d9b-4330-b560-dac08aae86a2,style1,under-30,male,europe,1,2,Manufacturing,2017-11-02T01:29:42,btype
5ef03f9d-60a5-4c48-bece-7215174e3a1e,style1,under-30,male,europe,2,2,Manufacturing,2017-11-01T08:19:35,ctype
1e6ee01e-568e-4eca-93a1-556b2f44125c,style1,under-30,female,us,1,2,Manufacturing,2017-11-01T01:58:56,ftype
7b10b4c6-3754-4690-a0f3-02ba5168ab4d,style1,under-30,female,asia,1,2,Manufacturing,2017-11-01T01:28:13,etype
7bff7100-b4db-4472-8742-579aea47a1db,style1,under-30,female,asia,1,2,Manufacturing,2017-11-01T07:11:01,ctype
142af1dc-b259-43f2-a56e-f8cb4b746902,style1,under-30,female,asia,2,2,Manufacturing,2017-11-01T11:27:13,ctype
ee3c4bfe-0731-4e40-b5f6-27defc8ce561,style1,under-30,female,europe,1,2,Manufacturing,2017-11-01T03:28:00,atype
ff2af0bc-75ac-4ae6-b98c-1b9e31fb4df6,style1,under-30,female,europe,1,2,Manufacturing,2017-11-01T22:48:49,etype
7b45a60b-504f-42c9-bb46-4a03d67a9f8c,style1,under-30,female,europe,1,2,Manufacturing,2017-11-02T02:47:33,btype
f9c21f5e-c0e0-4482-a8f2-e00ef88ae817,style1,under-30,female,europe,2,2,Manufacturing,2017-11-01T03:55:19,etype
f801f0c9-f0da-4642-988c-37074ceb57fc,style1,31-to-60,male,us,1,2,Manufacturing,2017-11-01T21:45:54,dtype
a6e6ab74-0514-44ef-ab18-23376d732361,style1,31-to-60,male,us,2,2,Manufacturing,2017-11-01T03:28:13,atype
869d9b89-cc40-417c-8f24-7897d6673cab,style1,31-to-60,male,us,2,2,Manufacturing,2017-11-01T05:19:57,etype
bf9d1c5d-8444-4f32-b22f-1e3a245dbea0,style1,31-to-60,male,us,2,2,Manufacturing,2017-11-01T09:54:14,atype
369b4052-a727-49bb-8831-c5b9db246f06,style1,31-to-60,male,us,2,2,Manufacturing,2017-11-01T11:50:55,dtype
81784862-e9a2-4448-9b40-3196185fd177,style1,31-to-60,male,us,2,2,Manufacturing,2017-11-01T12:26:07,ftype
